date,nlyf,nl,w1,wd1,max,min,jq,t1,hmax,hmin,hgl,alins,als
20250601,五月,初六,,,,,,,28,20,30%,词讼.安门.移徙,"祭祀,祈福,求嗣,开光,订盟,纳采,解除,动土,起基,进人口,开市,交易,立券,纳财,造仓,开池,栽种,纳畜,破土,安葬"
20250602,五月,初七,,,,,,,28,20,33%,开市.安床.安葬.入宅.破土,"祭祀,结网,捕捉,馀事勿取"
20250603,五月,初八,,,,,,,28,20,27%,安葬.动土.针灸,"祭祀,祈福,求嗣,开光,纳采,订盟,嫁娶,出行,动土,破土,会亲友,开市,交易,立券,习艺,拆卸,起基,安碓,放水,开池,造仓,开渠,栽种,谢土,启钻,修坟,立碑"
20250604,五月,初九,,,,,,,28,20,27%,安葬.动土.针灸,"嫁娶,冠笄,祭祀,出行,移徙,入宅,作灶,造车器,补垣,塞穴,开厕,破土,启钻,除服,成服,入殓"
20250605,五月,初十,,,,,芒种,,28,20,43%,宴会.安床.出行.嫁娶.移徙,"祭祀,解除,断蚁,会亲友,馀事勿取"
20250606,五月,十一,,,,,,,28,20,50%,动土.开仓.嫁娶.纳采,"祭祀,解除,馀事勿取"
20250607,五月,十二,,,,,,,28,20,50%,求官.上任.开张.搬家.探病,"嫁娶,祭祀,祈福,出火,开光,求嗣,出行,拆卸,开市,交易,立券,挂匾,入宅,移徙,安床,栽种,动土"
20250608,五月,十三,,,,,,,28,20,23%,服药.求医.栽种.动土.迁移,"开光,求嗣,出行,解除,伐木,出火,拆卸,修造,上梁,起基,入宅,移徙,开市,交易,立券,栽种,牧养,入殓,安葬,除服,成服"
20250609,五月,十四,,,,,,,28,21,30%,移徙.入宅.嫁娶.开市.安葬,"祭祀,理发,修饰垣墙,平治道涂,沐浴,整手足甲,扫舍"
20250610,五月,十五,,,,,,,28,21,27%,种植.置业.卖田.掘井.造船,"嫁娶,结婚,婚嫁,,祭祀,开光,祈福,求嗣,求子,生子,出行,出火,拆卸,动土,修造,装修,进人口,入宅,移徙,乔迁,搬家,搬迁,安床,挂匾,交易,立券,栽种,纳畜,入殓,破土,启钻,安葬"
20250611,五月,十六,,,,,,,28,21,43%,日值岁破-大事不宜,"祭祀,祈福,求嗣,开光,出行,伐木,出火,拆卸,修造,动土,起基,安床,入宅,移徙"
20250612,五月,十七,转晴,级转微风,38,24,,,28,21,37%,日值月破-大事不宜,"破屋,坏垣,馀事勿取"
20250613,五月,十八,多云转晴,微风,37,23,,,28,21,33%,登高.行船.安床.入宅.博彩,"开市,交易,立券,纳财,开池,开厕,结网,祭祀,修造,动土,安床,放水,经络,破土"
20250614,五月,十九,阴转晴,微风,33,22,,,28,21,37%,词讼.安门.移徙,"开市,交易,立券,纳财,栽种,安床,拆卸,修造,动土,上梁,入殓,安葬,破土,除服,成服"
20250615,五月,二十,晴,微风,35,20,,,28,21,37%,开市.安床.安葬.入宅.破土,"祭祀,作灶,馀事勿取"
20250616,五月,廿一,晴转多云,微风,36,22,,,28,21,43%,安葬.动土.针灸,"解除,坏垣,馀事勿取"
20250617,五月,廿二,阴转小雨,微风,36,21,,,28,21,33%,宴会.安床.出行.嫁娶.移徙,"修造,动土,起基,安门,安床,栽种,筑堤,补垣,造畜稠"
20250618,五月,廿三,阵雨转中雨,微风,29,21,,降温,28,21,52%,动土.开仓.嫁娶.纳采,"祭祀,教牛马,断蚁,馀事勿取"
20250619,五月,廿四,小雨转雨,微风,26,20,,,28,21,40%,求官.上任.开张.搬家.探病,"纳采,订盟,嫁娶,祭祀,祈福,开市,纳财,立券,移徙,出行,修造,动土,起基,定磉,竖柱,拆卸,扫舍,放水,安香,安床,造船,开池,掘井,造畜稠,栽种"
20250620,五月,廿五,阴,微风,29,20,,,28,21,50%,服药.求医.栽种.动土.迁移,"嫁娶,开光,祭祀,祈福,出行,解除,移徙,入宅,开市,纳财,起基,修造,竖柱,上梁,盖屋,作灶,出火,安香,补垣,塞穴,拆卸,放水,扫舍,造仓,造船,栽种,安葬"
20250621,五月,廿六,晴,微风,31,21,夏至,,28,21,27%,移徙.入宅.嫁娶.开市.安葬,"嫁娶,祭祀,理发,作灶,修饰垣墙,平治道涂,整手足甲,沐浴,冠笄"
20250622,五月,廿七,多云转阴,微风,33,23,,,28,21,37%,种植.置业.卖田.掘井.造船,"嫁娶,纳采,订盟,祭祀,祈福,求嗣,开光,出火,出行,拆卸,修造,动土,进人口,入宅,移徙,安床,交易,立券,挂匾,纳财,入殓,安葬,启钻,除服,成服"
20250623,五月,廿八,阴,微风,33,23,,,28,21,40%,日值岁破-大事不宜,"畋猎,捕捉,结网,取渔,祭祀,沐浴,馀事勿取"
20250624,五月,廿九,阴转雨,微风,34,22,,,28,21,37%,日值月破-大事不宜,"祭祀,破屋,坏垣,馀事勿取"
20250625,六月,初一,雨,微风,33,22,,,28,21,43%,登高.行船.安床.入宅.博彩,"祭祀,斋醮,塑绘,开光,出行,修造,动土,造畜稠,安床,放水,掘井,开池,开厕,结网,破土"
20250626,六月,初二,雨,微风,33,23,,,28,21,40%,词讼.安门.移徙,"开市,交易,立券,挂匾,开光,解除,拆卸,动土,安床,修造,上梁,置产,栽种,破土,安葬"
20250627,六月,初三,,,31,23,,,28,21,37%,日值杨公十三忌-大事不宜,"祭祀,结网,馀事勿取"
20250628,六月,初四,,,31,23,,,28,21,40%,安葬.动土.针灸,"嫁娶,纳采,订盟,冠笄,造车器,祭祀,开光,祈福,求嗣,出行,解除,伐木,出火,入宅,拆卸,修造,动土,上梁,安床,栽种,破土"
20250629,六月,初五,,,31,23,,,28,21,43%,宴会.安床.出行.嫁娶.移徙,"嫁娶,合帐,裁衣,冠笄,伐木,上梁,出火,拆卸,移徙,修造,动土,安门,纳财,筑堤,栽种,塞穴"
20250630,六月,初六,,,30,23,,,28,21,57%,动土.开仓.嫁娶.纳采,"出行,教牛马,割蜜,馀事勿取"
20250701,六月,初七,,,30,23,,,29,21,50%,求官.上任.开张.搬家.探病,"嫁娶,祭祀,祈福,求嗣,开光,出行,解除,出火,拆卸,修造,进人口,入宅,移徙,动土,安床,纳畜,栽种,纳财,交易,立券,挂匾,造畜稠"
20250702,六月,初八,,,30,23,,,29,22,37%,服药.求医.栽种.动土.迁移,"安机械,祭祀,祈福,求嗣,沐浴,解除,纳采,开市,修造,竖柱,上梁,开柱眼,安碓,归岫,补垣,塞穴,拆卸,放水,出火,扫舍,开生坟,合寿木,安葬,谢土,启钻,除服,成服"
20250703,六月,初九,,,31,23,,,29,22,47%,移徙.入宅.嫁娶.开市.安葬,"祭祀,沐浴,理发,整手足甲,修饰垣墙,平治道涂,馀事勿取"
20250704,六月,初十,,,31,24,,,29,22,47%,种植.置业.卖田.掘井.造船,"嫁娶,纳采,祭祀,祈福,出行,立券,移徙,入宅,动土,破土,安葬"
20250705,六月,十一,,,31,24,,,29,22,37%,日值岁破-大事不宜,"纳采,订盟,冠笄,祭祀,祈福,斋醮,出行,修造,动土,移徙,入宅,安香,出火,拆卸,盖屋,起基,竖柱,上梁,定磉,安门,开池"
